Level: State and Local,,,,
Unit:Total (thousands), Nominal,,,
Arkansas,2014,"$566,911 ","$537,384 ","$29,527 "
Arkansas,2015,"$587,690 ","$557,882 ","$29,808 "
Arkansas,2016,"$597,459 ","$591,257 ","$6,202 "
California,2006,"$10,914,128 ","$10,640,458 ","$273,670 "
California,2007,"$12,625,215 ","$12,374,827 ","$250,388 "
California,2008,"$13,542,366 ","$13,225,922 ","$316,444 "
California,2009,"$14,132,134 ","$13,654,514 ","$477,620 "
California,2010,"$12,931,191 ","$12,627,980 ","$303,211 "
California,2011,"$13,630,307 ","$12,884,440 ","$745,867 "
California,2012,"$13,691,104 ","$12,739,362 ","$951,742 "
California,2013,"$13,054,893 ","$12,753,985 ","$300,908 "
California,2014,"$14,343,228 ","$13,133,398 ","$1,209,830 "
California,2015,"$15,275,175 ","$14,267,009 ","$1,008,166 "
California,2016,"$15,468,283 ","$14,602,426 ","$865,857 "
Colorado,2006,"$1,000,585 ","$971,341 ","$29,244 "
Colorado,2007,"$1,137,150 ","$1,065,988 ","$71,162 "
Colorado,2008,"$1,174,865 ","$1,108,030 ","$66,835 "
Colorado,2009,"$1,215,892 ","$1,104,900 ","$110,992 "
Colorado,2010,"$1,312,747 ","$1,129,118 ","$183,629 "
Colorado,2011,"$1,215,364 ","$1,189,585 ","$25,779 "
Colorado,2012,"$1,243,601 ","$1,209,056 ","$34,545 "
Colorado,2013,"$1,186,992 ","$1,177,952 ","$9,040 "
Colorado,2014,"$1,252,486 ","$1,238,960 ","$13,526 "
Colorado,2015,"$1,316,236 ","$1,293,577 ","$22,659 "
Colorado,2016,"$1,313,095 ","$1,289,527 ","$23,568 "
Connecticut,2006,"$618,388 ","$611,008 ","$7,380 "
Connecticut,2007,"$660,035 ","$641,771 ","$18,264 "
Connecticut,2008,"$713,276 ","$709,112 ","$4,164 "
Connecticut,2009,"$724,989 ","$720,634 ","$4,355 "
Connecticut,2010,"$671,373 ","$664,082 ","$7,291 "
Connecticut,2011,"$687,886 ","$681,235 ","$6,651 "
Connecticut,2012,"$684,889 ","$676,383 ","$8,506 "
Connecticut,2013,"$658,973 ","$643,930 ","$15,043 "
Connecticut,2014,"$694,262 ","$688,439 ","$5,823 "
Connecticut,2015,"$699,051 ","$694,960 ","$4,091 "
Connecticut,2016,"$684,159 ","$680,094 ","$4,065 "
Delaware,2006,"$244,736 ","$242,781 ","$1,955 "
Delaware,2007,"$265,921 ","$263,846 ","$2,075 "
Delaware,2008,"$280,710 ","$277,980 ","$2,730 "
Delaware,2009,"$272,763 ","$271,423 ","$1,340 "
Delaware,2010,"$261,950 ","$259,802 ","$2,148 "
Delaware,2011,"$266,666 ","$265,591 ","$1,075 "
Delaware,2012,"$282,052 ","$281,014 ","$1,038 "
Delaware,2013,"$282,015 ","$280,152 ","$1,863 "
Delaware,2014,"$294,075 ","$291,136 ","$2,939 "
Delaware,2015,"$302,261 ","$300,586 ","$1,675 "
Delaware,2016,"$308,341 ","$306,653 ","$1,688 "
DC,2006,"$205,558 ","$203,364 ","$2,194 "
DC,2007,"$225,705 ","$221,098 ","$4,607 "
DC,2008,"$267,174 ","$236,437 ","$30,737 "
DC,2009,"$262,121 ","$243,880 ","$18,241 "
DC,2010,"$257,885 ","$252,872 ","$5,013 "
DC,2011,"$256,760 ","$244,365 ","$12,395 "
DC,2012,"$240,658 ","$233,428 ","$7,230 "
DC,2013,"$250,999 ","$228,929 ","$22,070 "
DC,2014,"$145,254 ","$134,544 ","$10,710 "
DC,2015,"$142,372 ","$135,238 ","$7,134 "
DC,2016,"$144,915 ","$140,170 ","$4,745 "
Florida,2006,"$4,047,591 ","$3,878,607 ","$168,984 "
Florida,2007,"$4,235,748 ","$4,112,394 ","$123,354 "
Florida,2008,"$4,755,810 ","$4,433,671 ","$322,139 "
Florida,2009,"$4,641,166 ","$4,327,872 ","$313,294 "
Florida,2010,"$4,502,301 ","$4,301,510 ","$200,791 "
Florida,2011,"$4,327,447 ","$4,230,081 ","$97,366 "
Florida,2012,"$4,065,514 ","$4,016,572 ","$48,942 "
Florida,2013,"$3,917,389 ","$3,877,184 ","$40,205 "
Florida,2014,"$4,014,608 ","$3,960,348 ","$54,260 "
Florida,2015,"$4,125,808 ","$4,061,001 ","$64,807 "
Florida,2016,"$4,248,590 ","$4,165,896 ","$82,694 "
Georgia,2006,"$2,000,474 ","$1,911,771 ","$88,703 "
Georgia,2007,"$2,209,743 ","$2,021,731 ","$188,012 "
Georgia,2008,"$2,299,773 ","$2,166,365 ","$133,408 "
Georgia,2009,"$2,305,356 ","$2,089,429 ","$215,927 "
Georgia,2010,"$2,259,203 ","$2,081,906 ","$177,297 "
Georgia,2011,"$2,275,864 ","$2,084,868 ","$190,996 "
Georgia,2012,"$2,330,927 ","$2,091,939 ","$238,988 "
Georgia,2013,"$2,280,274 ","$2,104,363 ","$175,911 "
Georgia,2014,"$2,221,182 ","$2,075,919 ","$145,263 "
Georgia,2015,"$2,278,830 ","$2,133,354 ","$145,476 "
Georgia,2016,"$1,919,567 ","$1,850,365 ","$69,202 "
Hawaii,2006,"$179,322 ","$177,279 ","$2,043 "
Hawaii,2007,"$197,273 ","$191,200 ","$6,073 "
Hawaii,2008,"$219,069 ","$209,282 ","$9,787 "
Hawaii,2009,"$230,656 ","$220,864 ","$9,792 "
Hawaii,2010,"$206,695 ","$201,871 ","$4,824 "
Hawaii,2011,"$191,030 ","$190,571 ",$459 
Hawaii,2012,"$198,207 ","$197,734 ",$473 
Hawaii,2013,"$200,984 ","$200,482 ",$502 
Hawaii,2014,"$216,708 ","$215,302 ","$1,406 "
Hawaii,2015,"$217,301 ","$212,952 ","$4,349 "
Hawaii,2016,"$217,459 ","$216,612 ",$847 
Idaho,2006,"$261,083 ","$249,276 ","$11,807 "
Idaho,2007,"$269,496 ","$258,385 ","$11,111 "
Idaho,2008,"$309,537 ","$287,792 ","$21,745 "
Idaho,2009,"$326,151 ","$304,473 ","$21,678 "
Idaho,2010,"$300,280 ","$285,031 ","$15,249 "
Idaho,2011,"$290,077 ","$280,798 ","$9,279 "
Idaho,2012,"$304,877 ","$294,612 ","$10,265 "
Idaho,2013,"$315,989 ","$307,652 ","$8,337 "
Idaho,2014,"$321,405 ","$314,279 ","$7,126 "
Idaho,2015,"$340,056 ","$331,164 ","$8,892 "
Idaho,2016,"$342,718 ","$327,334 ","$15,384 "
Illinois,2006,"$1,761,123 ","$1,728,377 ","$32,746 "
Illinois,2007,"$1,866,538 ","$1,790,647 ","$75,891 "
Illinois,2008,"$1,976,700 ","$1,859,190 ","$117,510 "
Illinois,2009,"$1,971,909 ","$1,931,355 ","$40,554 "
Illinois,2010,"$1,964,884 ","$1,942,425 ","$22,459 "
Illinois,2011,"$2,212,636 ","$2,188,224 ","$24,412 "
Illinois,2012,"$2,062,068 ","$2,027,385 ","$34,683 "
Illinois,2013,"$2,018,277 ","$1,991,280 ","$26,997 "
Illinois,2014,"$2,106,787 ","$2,080,648 ","$26,139 "
Illinois,2015,"$2,254,133 ","$2,215,398 ","$38,735 "
Illinois,2016,"$1,852,278 ","$1,828,136 ","$24,142 "
Indiana,2006,"$934,105 ","$882,915 ","$51,190 "
Indiana,2007,"$974,636 ","$903,269 ","$71,367 "
Indiana,2008,"$1,062,834 ","$1,025,729 ","$37,105 "
Indiana,2009,"$1,051,892 ","$1,028,707 ","$23,185 "
Indiana,2010,"$1,018,814 ","$982,701 ","$36,113 "
Indiana,2011,"$1,001,179 ","$977,758 ","$23,421 "
Indiana,2012,"$958,650 ","$939,329 ","$19,321 "
Indiana,2013,"$996,562 ","$971,298 ","$25,264 "
Indiana,2014,"$1,032,574 ","$1,002,099 ","$30,475 "
Indiana,2015,"$1,020,450 ","$990,463 ","$29,987 "
Indiana,2016,"$1,158,724 ","$1,140,699 ","$18,025 "
Iowa,2006,"$359,343 ","$341,894 ","$17,449 "
Iowa,2007,"$436,372 ","$359,572 ","$76,800 "
Iowa,2008,"$442,383 ","$395,872 ","$46,511 "
Iowa,2009,"$439,023 ","$410,347 ","$28,676 "
Iowa,2010,"$426,182 ","$393,392 ","$32,790 "
Iowa,2011,"$468,419 ","$395,096 ","$73,323 "
Iowa,2012,"$522,885 ","$404,782 ","$118,103 "
Iowa,2013,"$477,867 ","$410,597 ","$67,270 "
Iowa,2014,"$447,878 ","$418,073 ","$29,805 "
Iowa,2015,"$443,845 ","$428,836 ","$15,009 "
Iowa,2016,"$444,268 ","$432,516 ","$11,752 "
Kansas,2006,"$376,395 ","$370,343 ","$6,052 "
Kansas,2007,"$382,998 ","$377,036 ","$5,962 "
Kansas,2008,"$464,447 ","$452,544 ","$11,903 "
Kansas,2009,"$505,825 ","$485,068 ","$20,757 "
Kansas,2010,"$497,500 ","$480,983 ","$16,517 "
Kansas,2011,"$502,965 ","$489,655 ","$13,310 "
Kansas,2012,"$480,617 ","$471,229 ","$9,388 "
Kansas,2013,"$516,076 ","$504,738 ","$11,338 "
Kansas,2014,"$500,368 ","$486,787 ","$13,581 "
Kansas,2015,"$513,474 ","$498,016 ","$15,458 "
Kansas,2016,"$515,617 ","$498,328 ","$17,289 "
Kentucky,2006,"$627,676 ","$607,923 ","$19,753 "
Kentucky,2007,"$657,081 ","$646,475 ","$10,606 "
Kentucky,2008,"$734,285 ","$721,051 ","$13,234 "
Kentucky,2009,"$716,658 ","$706,837 ","$9,821 "
Kentucky,2010,"$721,635 ","$712,395 ","$9,240 "
Kentucky,2011,"$736,460 ","$715,572 ","$20,888 "
Kentucky,2012,"$738,949 ","$727,233 ","$11,716 "
Kentucky,2013,"$750,773 ","$741,861 ","$8,912 "
Kentucky,2014,"$774,821 ","$765,268 ","$9,553 "
Kentucky,2015,"$797,319 ","$785,984 ","$11,335 "
Kentucky,2016,"$903,548 ","$886,205 ","$17,343 "
Louisiana,2006,"$998,848 ","$940,946 ","$57,902 "
Louisiana,2007,"$1,067,164 ","$999,304 ","$67,860 "
Louisiana,2008,"$1,242,268 ","$1,152,755 ","$89,513 "
Louisiana,2009,"$1,377,330 ","$1,307,843 ","$69,487 "
Louisiana,2010,"$1,319,289 ","$1,263,193 ","$56,096 "
Louisiana,2011,"$1,317,824 ","$1,253,118 ","$64,706 "
Louisiana,2012,"$1,329,243 ","$1,200,851 ","$128,392 "
Louisiana,2013,"$1,337,378 ","$1,186,510 ","$150,868 "
Louisiana,2014,"$1,216,799 ","$1,091,668 ","$125,131 "
Louisiana,2015,"$1,138,255 ","$1,071,741 ","$66,514 "
Louisiana,2016,"$1,138,415 ","$1,073,091 ","$65,324 "
Maine,2006,"$182,638 ","$180,153 ","$2,485 "
Maine,2007,"$198,472 ","$188,601 ","$9,871 "
Maine,2008,"$213,015 ","$200,048 ","$12,967 "
Maine,2009,"$204,701 ","$197,530 ","$7,171 "
Maine,2010,"$203,027 ","$202,133 ",$894 
Maine,2011,"$196,598 ","$195,967 ",$631 
Maine,2012,"$193,735 ","$192,576 ","$1,159 "
Maine,2013,"$189,548 ","$187,730 ","$1,818 "
Maine,2014,"$198,630 ","$193,809 ","$4,821 "
Maine,2015,"$210,657 ","$202,892 ","$7,765 "
Maine,2016,"$264,125 ","$257,007 ","$7,118 "
Maryland,2006,"$1,461,192 ","$1,402,792 ","$58,400 "
Maryland,2007,"$1,661,414 ","$1,582,909 ","$78,505 "
Maryland,2008,"$1,683,629 ","$1,639,346 ","$44,283 "
Maryland,2009,"$1,779,591 ","$1,746,089 ","$33,502 "
Maryland,2010,"$1,737,564 ","$1,692,125 ","$45,439 "
Maryland,2011,"$1,719,814 ","$1,682,577 ","$37,237 "
Maryland,2012,"$1,749,707 ","$1,720,028 ","$29,679 "
Maryland,2013,"$1,768,226 ","$1,732,240 ","$35,986 "
Maryland,2014,"$1,791,082 ","$1,754,773 ","$36,309 "
Maryland,2015,"$1,864,705 ","$1,812,178 ","$52,527 "
Maryland,2016,"$1,899,302 ","$1,837,707 ","$61,595 "
Massachusetts,2006,"$1,158,360 ","$1,108,953 ","$49,407 "
Massachusetts,2007,"$1,285,168 ","$1,236,751 ","$48,417 "
Massachusetts,2008,"$1,407,655 ","$1,386,188 ","$21,467 "
Massachusetts,2009,"$1,346,549 ","$1,333,154 ","$13,395 "
Massachusetts,2010,"$1,191,297 ","$1,174,614 ","$16,683 "
Massachusetts,2011,"$1,051,338 ","$1,029,600 ","$21,738 "
Massachusetts,2012,"$1,056,190 ","$1,036,328 ","$19,862 "
Massachusetts,2013,"$1,095,858 ","$1,061,575 ","$34,283 "
Massachusetts,2014,"$1,137,031 ","$1,040,365 ","$96,666 "
Massachusetts,2015,"$1,102,746 ","$1,061,748 ","$40,998 "
Massachusetts,2016,"$1,119,463 ","$1,068,854 ","$50,609 "
Michigan,2006,"$2,288,841 ","$2,274,391 ","$14,450 "
Michigan,2007,"$2,357,772 ","$2,352,778 ","$4,994 "
Michigan,2008,"$2,445,193 ","$2,435,140 ","$10,053 "
Michigan,2009,"$2,405,842 ","$2,357,778 ","$48,064 "
Michigan,2010,"$2,276,493 ","$2,240,400 ","$36,093 "
Michigan,2011,"$2,245,187 ","$2,200,143 ","$45,044 "
Michigan,2012,"$2,245,657 ","$2,214,651 ","$31,006 "
Michigan,2013,"$2,511,279 ","$2,429,725 ","$81,554 "
Michigan,2014,"$2,525,434 ","$2,465,420 ","$60,014 "
Michigan,2015,"$2,496,266 ","$2,462,757 ","$33,509 "
Michigan,2016,"$2,521,274 ","$2,486,764 ","$34,510 "
Minnesota,2006,"$738,800 ","$718,901 ","$19,899 "
Minnesota,2007,"$839,428 ","$753,791 ","$85,637 "
Minnesota,2008,"$914,515 ","$803,360 ","$111,155 "
Minnesota,2009,"$922,312 ","$848,361 ","$73,951 "
Minnesota,2010,"$861,138 ","$840,989 ","$20,149 "
Minnesota,2011,"$870,853 ","$855,333 ","$15,520 "
Minnesota,2012,"$863,920 ","$845,707 ","$18,213 "
Minnesota,2013,"$876,338 ","$859,763 ","$16,575 "
Minnesota,2014,"$902,529 ","$885,326 ","$17,203 "
Minnesota,2015,"$939,218 ","$919,765 ","$19,453 "
Minnesota,2016,"$1,012,828 ","$978,736 ","$34,092 "
Mississippi,2006,"$376,892 ","$368,975 ","$7,917 "
Mississippi,2007,"$431,112 ","$415,748 ","$15,364 "
Mississippi,2008,"$488,489 ","$459,762 ","$28,727 "
Mississippi,2009,"$523,210 ","$493,530 ","$29,680 "
Mississippi,2010,"$540,947 ","$506,236 ","$34,711 "
Mississippi,2011,"$550,229 ","$480,172 ","$70,057 "
Mississippi,2012,"$558,273 ","$472,165 ","$86,108 "
Mississippi,2013,"$524,341 ","$485,846 ","$38,495 "
Mississippi,2014,"$505,137 ","$489,182 ","$15,955 "
Mississippi,2015,"$497,701 ","$467,243 ","$30,458 "
Mississippi,2016,"$497,882 ","$462,843 ","$35,039 "
Missouri,2006,"$805,061 ","$776,775 ","$28,286 "
Missouri,2007,"$799,156 ","$769,843 ","$29,313 "
Missouri,2008,"$873,670 ","$765,886 ","$107,784 "
Missouri,2009,"$903,970 ","$853,605 ","$50,365 "
Missouri,2010,"$877,372 ","$847,621 ","$29,751 "
Missouri,2011,"$861,737 ","$851,204 ","$10,533 "
Missouri,2012,"$862,170 ","$849,688 ","$12,482 "
Missouri,2013,"$883,435 ","$872,485 ","$10,950 "
Missouri,2014,"$966,789 ","$952,665 ","$14,124 "
Missouri,2015,"$953,771 ","$936,652 ","$17,119 "
Missouri,2016,"$960,445 ","$943,928 ","$16,517 "
Montana,2006,"$175,599 ","$173,592 ","$2,007 "
Montana,2007,"$181,273 ","$179,049 ","$2,224 "
Montana,2008,"$204,041 ","$199,813 ","$4,228 "
Montana,2009,"$229,848 ","$212,960 ","$16,888 "
Montana,2010,"$247,689 ","$221,766 ","$25,923 "
Montana,2011,"$240,862 ","$222,312 ","$18,550 "
Montana,2012,"$237,556 ","$223,515 ","$14,041 "
Montana,2013,"$240,476 ","$230,589 ","$9,887 "
Montana,2014,"$243,765 ","$239,285 ","$4,480 "
Montana,2015,"$268,128 ","$251,571 ","$16,557 "
Montana,2016,"$257,564 ","$252,790 ","$4,774 "
Nebraska,2006,"$293,112 ","$281,917 ","$11,195 "
Nebraska,2007,"$325,913 ","$298,502 ","$27,411 "
Nebraska,2008,"$322,313 ","$317,870 ","$4,443 "
Nebraska,2009,"$340,805 ","$335,125 ","$5,680 "
Nebraska,2010,"$359,392 ","$347,132 ","$12,260 "
Nebraska,2011,"$365,920 ","$346,785 ","$19,135 "
Nebraska,2012,"$361,679 ","$357,650 ","$4,029 "
Nebraska,2013,"$364,200 ","$360,130 ","$4,070 "
Nebraska,2014,"$402,579 ","$399,928 ","$2,651 "
Nebraska,2015,"$471,788 ","$468,198 ","$3,590 "
Nebraska,2016,"$499,504 ","$491,053 ","$8,451 "
Nevada,2006,"$555,564 ","$540,426 ","$15,138 "
Nevada,2007,"$661,730 ","$634,885 ","$26,845 "
Nevada,2008,"$768,096 ","$659,302 ","$108,794 "
Nevada,2009,"$814,903 ","$710,178 ","$104,725 "
Nevada,2010,"$681,868 ","$644,826 ","$37,042 "
Nevada,2011,"$686,732 ","$674,028 ","$12,704 "
Nevada,2012,"$704,917 ","$690,178 ","$14,739 "
Nevada,2013,"$688,780 ","$674,023 ","$14,757 "
Nevada,2014,"$693,289 ","$680,901 ","$12,388 "
Nevada,2015,"$678,562 ","$659,271 ","$19,291 "
Nevada,2016,"$711,775 ","$692,252 ","$19,523 "
New Hampshire,2006,"$165,118 ","$149,186 ","$15,932 "
New Hampshire,2007,"$163,587 ","$158,594 ","$4,993 "
New Hampshire,2008,"$167,566 ","$163,977 ","$3,589 "
New Hampshire,2009,"$180,036 ","$161,440 ","$18,596 "
New Hampshire,2010,"$203,942 ","$177,071 ","$26,871 "
New Hampshire,2011,"$183,858 ","$178,610 ","$5,248 "
New Hampshire,2012,"$182,525 ","$179,412 ","$3,113 "
New Hampshire,2013,"$183,767 ","$181,784 ","$1,983 "
New Hampshire,2014,"$171,032 ","$169,483 ","$1,549 "
New Hampshire,2015,"$183,201 ","$178,523 ","$4,678 "
New Hampshire,2016,"$198,456 ","$192,806 ","$5,650 "
New Jersey,2006,"$1,918,843 ","$1,882,111 ","$36,732 "
New Jersey,2007,"$2,029,435 ","$1,998,925 ","$30,510 "
New Jersey,2008,"$2,062,377 ","$2,033,726 ","$28,651 "
New Jersey,2009,"$2,144,742 ","$2,052,642 ","$92,100 "
New Jersey,2010,"$2,156,871 ","$2,123,863 ","$33,008 "
New Jersey,2011,"$2,071,530 ","$2,042,470 ","$29,060 "
New Jersey,2012,"$2,074,942 ","$2,027,673 ","$47,269 "
New Jersey,2013,"$2,104,216 ","$2,059,640 ","$44,576 "
New Jersey,2014,"$2,083,605 ","$2,047,449 ","$36,156 "
New Jersey,2015,"$2,058,426 ","$2,025,076 ","$33,350 "
New Jersey,2016,"$2,043,128 ","$2,005,116 ","$38,012 "
New Mexico,2006,"$476,010 ","$467,036 ","$8,974 "
New Mexico,2007,"$468,419 ","$459,486 ","$8,933 "
New Mexico,2008,"$554,174 ","$542,968 ","$11,206 "
New Mexico,2009,"$573,796 ","$558,734 ","$15,062 "
New Mexico,2010,"$630,255 ","$610,978 ","$19,277 "
New Mexico,2011,"$624,393 ","$609,476 ","$14,917 "
New Mexico,2012,"$602,064 ","$593,359 ","$8,705 "
New Mexico,2013,"$618,393 ","$608,973 ","$9,420 "
New Mexico,2014,"$646,296 ","$640,167 ","$6,129 "
New Mexico,2015,"$668,580 ","$664,727 ","$3,853 "
New Mexico,2016,"$696,223 ","$691,862 ","$4,361 "
New York,2006,"$5,130,555 ","$4,783,914 ","$346,641 "
New York,2007,"$5,660,386 ","$5,309,148 ","$351,238 "
New York,2008,"$5,794,240 ","$5,335,316 ","$458,924 "
New York,2009,"$5,832,369 ","$5,415,312 ","$417,057 "
New York,2010,"$6,053,695 ","$5,652,597 ","$401,098 "
New York,2011,"$5,873,115 ","$5,557,168 ","$315,947 "
New York,2012,"$5,771,741 ","$5,458,734 ","$313,007 "
New York,2013,"$6,346,473 ","$5,950,597 ","$395,876 "
New York,2014,"$6,173,992 ","$5,776,055 ","$397,937 "
New York,2015,"$6,202,204 ","$5,885,165 ","$317,039 "
New York,2016,"$6,523,806 ","$6,127,311 ","$396,495 "
North Carolina,2006,"$1,545,999 ","$1,427,857 ","$118,142 "
North Carolina,2007,"$1,743,448 ","$1,541,181 ","$202,267 "
North Carolina,2008,"$1,771,823 ","$1,604,568 ","$167,255 "
North Carolina,2009,"$1,936,723 ","$1,724,714 ","$212,009 "
North Carolina,2010,"$2,018,738 ","$1,763,923 ","$254,815 "
North Carolina,2011,"$2,016,730 ","$1,766,728 ","$250,002 "
North Carolina,2012,"$1,892,107 ","$1,748,797 ","$143,310 "
North Carolina,2013,"$1,733,382 ","$1,658,445 ","$74,937 "
North Carolina,2014,"$1,737,536 ","$1,675,754 ","$61,782 "
North Carolina,2015,"$1,760,362 ","$1,725,286 ","$35,076 "
North Carolina,2016,"$1,823,362 ","$1,778,603 ","$44,759 "
North Dakota,2006,"$73,960 ","$71,824 ","$2,136 "
North Dakota,2007,"$88,205 ","$72,137 ","$16,068 "
North Dakota,2008,"$83,879 ","$80,029 ","$3,850 "
North Dakota,2009,"$92,290 ","$86,854 ","$5,436 "
North Dakota,2010,"$97,996 ","$93,964 ","$4,032 "
North Dakota,2011,"$116,353 ","$98,773 ","$17,580 "
North Dakota,2012,"$139,825 ","$110,190 ","$29,635 "
North Dakota,2013,"$132,105 ","$112,324 ","$19,781 "
North Dakota,2014,"$127,885 ","$121,479 ","$6,406 "
North Dakota,2015,"$138,682 ","$132,009 ","$6,673 "
North Dakota,2016,"$175,123 ","$149,252 ","$25,871 "
Ohio,2006,"$1,994,398 ","$1,901,298 ","$93,100 "
Ohio,2007,"$1,630,638 ","$1,577,712 ","$52,926 "
Ohio,2008,"$1,975,013 ","$1,907,393 ","$67,620 "
Ohio,2009,"$2,046,477 ","$1,978,504 ","$67,973 "
Ohio,2010,"$1,887,812 ","$1,838,700 ","$49,112 "
Ohio,2011,"$1,911,436 ","$1,860,343 ","$51,093 "
Ohio,2012,"$1,819,327 ","$1,772,282 ","$47,045 "
Ohio,2013,"$1,839,580 ","$1,790,229 ","$49,351 "
Ohio,2014,"$1,859,739 ","$1,820,014 ","$39,725 "
Ohio,2015,"$1,971,480 ","$1,920,323 ","$51,157 "
Ohio,2016,"$2,006,589 ","$1,933,781 ","$72,808 "
Oklahoma,2006,"$632,383 ","$612,886 ","$19,497 "
Oklahoma,2007,"$666,044 ","$645,861 ","$20,183 "
Oklahoma,2008,"$705,173 ","$677,041 ","$28,132 "
Oklahoma,2009,"$717,958 ","$695,245 ","$22,713 "
Oklahoma,2010,"$691,065 ","$680,015 ","$11,050 "
Oklahoma,2011,"$651,506 ","$638,359 ","$13,147 "
Oklahoma,2012,"$680,777 ","$666,067 ","$14,710 "
Oklahoma,2013,"$724,718 ","$700,149 ","$24,569 "
Oklahoma,2014,"$751,657 ","$732,106 ","$19,551 "
Oklahoma,2015,"$746,089 ","$733,795 ","$12,294 "
Oklahoma,2016,"$752,146 ","$743,010 ","$9,136 "
Oregon,2006,"$921,710 ","$851,225 ","$70,485 "
Oregon,2007,"$990,334 ","$869,790 ","$120,544 "
Oregon,2008,"$1,016,251 ","$973,569 ","$42,682 "
Oregon,2009,"$1,037,428 ","$1,015,251 ","$22,177 "
Oregon,2010,"$1,069,653 ","$1,048,090 ","$21,563 "
Oregon,2011,"$1,050,098 ","$1,038,653 ","$11,445 "
Oregon,2012,"$1,070,641 ","$1,055,005 ","$15,636 "
Oregon,2013,"$1,062,420 ","$1,040,364 ","$22,056 "
Oregon,2014,"$1,128,502 ","$1,109,848 ","$18,654 "
Oregon,2015,"$1,129,757 ","$1,118,500 ","$11,257 "
Oregon,2016,"$1,216,267 ","$1,201,098 ","$15,169 "
Pennsylvania,2006,"$2,795,776 ","$2,649,704 ","$146,072 "
Pennsylvania,2007,"$3,032,517 ","$2,794,369 ","$238,148 "
Pennsylvania,2008,"$3,043,914 ","$2,890,638 ","$153,276 "
Pennsylvania,2009,"$3,067,404 ","$2,988,336 ","$79,068 "
Pennsylvania,2010,"$3,196,999 ","$3,107,757 ","$89,242 "
Pennsylvania,2011,"$3,236,484 ","$3,181,701 ","$54,783 "
