Level: State and Local,,,,
Unit:Total (thousands), Nominal,,,
DC,2010,"$257,885 ","$252,872 ","$5,013 "
DC,2011,"$256,760 ","$244,365 ","$12,395 "
DC,2012,"$240,658 ","$233,428 ","$7,230 "
DC,2013,"$250,999 ","$228,929 ","$22,070 "
DC,2014,"$145,254 ","$134,544 ","$10,710 "
DC,2015,"$142,372 ","$135,238 ","$7,134 "
DC,2016,"$144,915 ","$140,170 ","$4,745 "
Florida,2010,"$4,502,301 ","$4,301,510 ","$200,791 "
Florida,2011,"$4,327,447 ","$4,230,081 ","$97,366 "
Florida,2012,"$4,065,514 ","$4,016,572 ","$48,942 "
Florida,2013,"$3,917,389 ","$3,877,184 ","$40,205 "
Florida,2014,"$4,014,608 ","$3,960,348 ","$54,260 "
Florida,2015,"$4,125,808 ","$4,061,001 ","$64,807 "
Florida,2016,"$4,248,590 ","$4,165,896 ","$82,694 "
Georgia,2010,"$2,259,203 ","$2,081,906 ","$177,297 "
Georgia,2011,"$2,275,864 ","$2,084,868 ","$190,996 "
Georgia,2012,"$2,330,927 ","$2,091,939 ","$238,988 "
Georgia,2013,"$2,280,274 ","$2,104,363 ","$175,911 "
Georgia,2014,"$2,221,182 ","$2,075,919 ","$145,263 "
Georgia,2015,"$2,278,830 ","$2,133,354 ","$145,476 "
Georgia,2016,"$1,919,567 ","$1,850,365 ","$69,202 "
Hawaii,2010,"$206,695 ","$201,871 ","$4,824 "
Hawaii,2011,"$191,030 ","$190,571 ",$459 
Hawaii,2012,"$198,207 ","$197,734 ",$473 
Hawaii,2013,"$200,984 ","$200,482 ",$502 
Hawaii,2014,"$216,708 ","$215,302 ","$1,406 "
Hawaii,2015,"$217,301 ","$212,952 ","$4,349 "
Hawaii,2016,"$217,459 ","$216,612 ",$847 
Idaho,2010,"$300,280 ","$285,031 ","$15,249 "
Idaho,2011,"$290,077 ","$280,798 ","$9,279 "
Idaho,2012,"$304,877 ","$294,612 ","$10,265 "
Idaho,2013,"$315,989 ","$307,652 ","$8,337 "
Idaho,2014,"$321,405 ","$314,279 ","$7,126 "
Idaho,2015,"$340,056 ","$331,164 ","$8,892 "
Idaho,2016,"$342,718 ","$327,334 ","$15,384 "
Illinois,2010,"$1,964,884 ","$1,942,425 ","$22,459 "
Illinois,2011,"$2,212,636 ","$2,188,224 ","$24,412 "
Illinois,2012,"$2,062,068 ","$2,027,385 ","$34,683 "
Illinois,2013,"$2,018,277 ","$1,991,280 ","$26,997 "
Illinois,2014,"$2,106,787 ","$2,080,648 ","$26,139 "
Illinois,2015,"$2,254,133 ","$2,215,398 ","$38,735 "
Illinois,2016,"$1,852,278 ","$1,828,136 ","$24,142 "
Indiana,2010,"$1,018,814 ","$982,701 ","$36,113 "
Indiana,2011,"$1,001,179 ","$977,758 ","$23,421 "
Indiana,2012,"$958,650 ","$939,329 ","$19,321 "
Indiana,2013,"$996,562 ","$971,298 ","$25,264 "
Indiana,2014,"$1,032,574 ","$1,002,099 ","$30,475 "
Indiana,2015,"$1,020,450 ","$990,463 ","$29,987 "
Indiana,2016,"$1,158,724 ","$1,140,699 ","$18,025 "
Iowa,2010,"$426,182 ","$393,392 ","$32,790 "
Iowa,2011,"$468,419 ","$395,096 ","$73,323 "
Iowa,2012,"$522,885 ","$404,782 ","$118,103 "
Iowa,2013,"$477,867 ","$410,597 ","$67,270 "
Iowa,2014,"$447,878 ","$418,073 ","$29,805 "
Iowa,2015,"$443,845 ","$428,836 ","$15,009 "
Iowa,2016,"$444,268 ","$432,516 ","$11,752 "
Kansas,2010,"$497,500 ","$480,983 ","$16,517 "
Kansas,2011,"$502,965 ","$489,655 ","$13,310 "
Kansas,2012,"$480,617 ","$471,229 ","$9,388 "
Kansas,2013,"$516,076 ","$504,738 ","$11,338 "
Kansas,2014,"$500,368 ","$486,787 ","$13,581 "
Kansas,2015,"$513,474 ","$498,016 ","$15,458 "
Kansas,2016,"$515,617 ","$498,328 ","$17,289 "
Kentucky,2010,"$721,635 ","$712,395 ","$9,240 "
Kentucky,2011,"$736,460 ","$715,572 ","$20,888 "
Kentucky,2012,"$738,949 ","$727,233 ","$11,716 "
Kentucky,2013,"$750,773 ","$741,861 ","$8,912 "
Kentucky,2014,"$774,821 ","$765,268 ","$9,553 "
Kentucky,2015,"$797,319 ","$785,984 ","$11,335 "
Kentucky,2016,"$903,548 ","$886,205 ","$17,343 "
Louisiana,2010,"$1,319,289 ","$1,263,193 ","$56,096 "
Louisiana,2011,"$1,317,824 ","$1,253,118 ","$64,706 "
Louisiana,2012,"$1,329,243 ","$1,200,851 ","$128,392 "
Louisiana,2013,"$1,337,378 ","$1,186,510 ","$150,868 "
Louisiana,2014,"$1,216,799 ","$1,091,668 ","$125,131 "
Louisiana,2015,"$1,138,255 ","$1,071,741 ","$66,514 "
Louisiana,2016,"$1,138,415 ","$1,073,091 ","$65,324 "
Maine,2010,"$203,027 ","$202,133 ",$894 
Maine,2011,"$196,598 ","$195,967 ",$631 
Maine,2012,"$193,735 ","$192,576 ","$1,159 "
Maine,2013,"$189,548 ","$187,730 ","$1,818 "
Maine,2014,"$198,630 ","$193,809 ","$4,821 "
Maine,2015,"$210,657 ","$202,892 ","$7,765 "
Maine,2016,"$264,125 ","$257,007 ","$7,118 "
Maryland,2010,"$1,737,564 ","$1,692,125 ","$45,439 "
Maryland,2011,"$1,719,814 ","$1,682,577 ","$37,237 "
Maryland,2012,"$1,749,707 ","$1,720,028 ","$29,679 "
Maryland,2013,"$1,768,226 ","$1,732,240 ","$35,986 "
Maryland,2014,"$1,791,082 ","$1,754,773 ","$36,309 "
Maryland,2015,"$1,864,705 ","$1,812,178 ","$52,527 "
Maryland,2016,"$1,899,302 ","$1,837,707 ","$61,595 "
Massachusetts,2010,"$1,191,297 ","$1,174,614 ","$16,683 "
Massachusetts,2011,"$1,051,338 ","$1,029,600 ","$21,738 "
Massachusetts,2012,"$1,056,190 ","$1,036,328 ","$19,862 "
Massachusetts,2013,"$1,095,858 ","$1,061,575 ","$34,283 "
Massachusetts,2014,"$1,137,031 ","$1,040,365 ","$96,666 "
Massachusetts,2015,"$1,102,746 ","$1,061,748 ","$40,998 "
Massachusetts,2016,"$1,119,463 ","$1,068,854 ","$50,609 "
Michigan,2010,"$2,276,493 ","$2,240,400 ","$36,093 "
Michigan,2011,"$2,245,187 ","$2,200,143 ","$45,044 "
Michigan,2012,"$2,245,657 ","$2,214,651 ","$31,006 "
Michigan,2013,"$2,511,279 ","$2,429,725 ","$81,554 "
Michigan,2014,"$2,525,434 ","$2,465,420 ","$60,014 "
Michigan,2015,"$2,496,266 ","$2,462,757 ","$33,509 "
Michigan,2016,"$2,521,274 ","$2,486,764 ","$34,510 "
Minnesota,2010,"$861,138 ","$840,989 ","$20,149 "
Minnesota,2011,"$870,853 ","$855,333 ","$15,520 "
Minnesota,2012,"$863,920 ","$845,707 ","$18,213 "
Minnesota,2013,"$876,338 ","$859,763 ","$16,575 "
Minnesota,2014,"$902,529 ","$885,326 ","$17,203 "
Minnesota,2015,"$939,218 ","$919,765 ","$19,453 "
Minnesota,2016,"$1,012,828 ","$978,736 ","$34,092 "
Mississippi,2010,"$540,947 ","$506,236 ","$34,711 "
Mississippi,2011,"$550,229 ","$480,172 ","$70,057 "
Mississippi,2012,"$558,273 ","$472,165 ","$86,108 "
Mississippi,2013,"$524,341 ","$485,846 ","$38,495 "
Mississippi,2014,"$505,137 ","$489,182 ","$15,955 "
Mississippi,2015,"$497,701 ","$467,243 ","$30,458 "
Mississippi,2016,"$497,882 ","$462,843 ","$35,039 "
Missouri,2010,"$877,372 ","$847,621 ","$29,751 "
Missouri,2011,"$861,737 ","$851,204 ","$10,533 "
Missouri,2012,"$862,170 ","$849,688 ","$12,482 "
Missouri,2013,"$883,435 ","$872,485 ","$10,950 "
Missouri,2014,"$966,789 ","$952,665 ","$14,124 "
Missouri,2015,"$953,771 ","$936,652 ","$17,119 "
Missouri,2016,"$960,445 ","$943,928 ","$16,517 "
Montana,2010,"$247,689 ","$221,766 ","$25,923 "
Montana,2011,"$240,862 ","$222,312 ","$18,550 "
Montana,2012,"$237,556 ","$223,515 ","$14,041 "
Montana,2013,"$240,476 ","$230,589 ","$9,887 "
Montana,2014,"$243,765 ","$239,285 ","$4,480 "
Montana,2015,"$268,128 ","$251,571 ","$16,557 "
Montana,2016,"$257,564 ","$252,790 ","$4,774 "
Nebraska,2010,"$359,392 ","$347,132 ","$12,260 "
Nebraska,2011,"$365,920 ","$346,785 ","$19,135 "
Nebraska,2012,"$361,679 ","$357,650 ","$4,029 "
Nebraska,2013,"$364,200 ","$360,130 ","$4,070 "
Nebraska,2014,"$402,579 ","$399,928 ","$2,651 "
Nebraska,2015,"$471,788 ","$468,198 ","$3,590 "
Nebraska,2016,"$499,504 ","$491,053 ","$8,451 "
Nevada,2010,"$681,868 ","$644,826 ","$37,042 "
Nevada,2011,"$686,732 ","$674,028 ","$12,704 "
Nevada,2012,"$704,917 ","$690,178 ","$14,739 "
Nevada,2013,"$688,780 ","$674,023 ","$14,757 "
Nevada,2014,"$693,289 ","$680,901 ","$12,388 "
Nevada,2015,"$678,562 ","$659,271 ","$19,291 "
Nevada,2016,"$711,775 ","$692,252 ","$19,523 "
New Hampshire,2010,"$203,942 ","$177,071 ","$26,871 "
New Hampshire,2011,"$183,858 ","$178,610 ","$5,248 "
New Hampshire,2012,"$182,525 ","$179,412 ","$3,113 "
New Hampshire,2013,"$183,767 ","$181,784 ","$1,983 "
New Hampshire,2014,"$171,032 ","$169,483 ","$1,549 "
New Hampshire,2015,"$183,201 ","$178,523 ","$4,678 "
New Hampshire,2016,"$198,456 ","$192,806 ","$5,650 "
New Jersey,2010,"$2,156,871 ","$2,123,863 ","$33,008 "
New Jersey,2011,"$2,071,530 ","$2,042,470 ","$29,060 "
New Jersey,2012,"$2,074,942 ","$2,027,673 ","$47,269 "
New Jersey,2013,"$2,104,216 ","$2,059,640 ","$44,576 "
New Jersey,2014,"$2,083,605 ","$2,047,449 ","$36,156 "
New Jersey,2015,"$2,058,426 ","$2,025,076 ","$33,350 "
New Jersey,2016,"$2,043,128 ","$2,005,116 ","$38,012 "
New Mexico,2010,"$630,255 ","$610,978 ","$19,277 "
New Mexico,2011,"$624,393 ","$609,476 ","$14,917 "
New Mexico,2012,"$602,064 ","$593,359 ","$8,705 "
New Mexico,2013,"$618,393 ","$608,973 ","$9,420 "
New Mexico,2014,"$646,296 ","$640,167 ","$6,129 "
New Mexico,2015,"$668,580 ","$664,727 ","$3,853 "
New Mexico,2016,"$696,223 ","$691,862 ","$4,361 "
New York,2010,"$6,053,695 ","$5,652,597 ","$401,098 "
New York,2011,"$5,873,115 ","$5,557,168 ","$315,947 "
New York,2012,"$5,771,741 ","$5,458,734 ","$313,007 "
New York,2013,"$6,346,473 ","$5,950,597 ","$395,876 "
New York,2014,"$6,173,992 ","$5,776,055 ","$397,937 "
New York,2015,"$6,202,204 ","$5,885,165 ","$317,039 "
New York,2016,"$6,523,806 ","$6,127,311 ","$396,495 "
North Carolina,2010,"$2,018,738 ","$1,763,923 ","$254,815 "
North Carolina,2011,"$2,016,730 ","$1,766,728 ","$250,002 "
North Carolina,2012,"$1,892,107 ","$1,748,797 ","$143,310 "
North Carolina,2013,"$1,733,382 ","$1,658,445 ","$74,937 "
North Carolina,2014,"$1,737,536 ","$1,675,754 ","$61,782 "
North Carolina,2015,"$1,760,362 ","$1,725,286 ","$35,076 "
North Carolina,2016,"$1,823,362 ","$1,778,603 ","$44,759 "
North Dakota,2010,"$97,996 ","$93,964 ","$4,032 "
North Dakota,2011,"$116,353 ","$98,773 ","$17,580 "
North Dakota,2012,"$139,825 ","$110,190 ","$29,635 "
North Dakota,2013,"$132,105 ","$112,324 ","$19,781 "
North Dakota,2014,"$127,885 ","$121,479 ","$6,406 "
North Dakota,2015,"$138,682 ","$132,009 ","$6,673 "
North Dakota,2016,"$175,123 ","$149,252 ","$25,871 "
Ohio,2010,"$1,887,812 ","$1,838,700 ","$49,112 "
Ohio,2011,"$1,911,436 ","$1,860,343 ","$51,093 "
Ohio,2012,"$1,819,327 ","$1,772,282 ","$47,045 "
Ohio,2013,"$1,839,580 ","$1,790,229 ","$49,351 "
Ohio,2014,"$1,859,739 ","$1,820,014 ","$39,725 "
Ohio,2015,"$1,971,480 ","$1,920,323 ","$51,157 "
Ohio,2016,"$2,006,589 ","$1,933,781 ","$72,808 "
Oklahoma,2010,"$691,065 ","$680,015 ","$11,050 "
Oklahoma,2011,"$651,506 ","$638,359 ","$13,147 "
Oklahoma,2012,"$680,777 ","$666,067 ","$14,710 "
Oklahoma,2013,"$724,718 ","$700,149 ","$24,569 "
Oklahoma,2014,"$751,657 ","$732,106 ","$19,551 "
Oklahoma,2015,"$746,089 ","$733,795 ","$12,294 "
Oklahoma,2016,"$752,146 ","$743,010 ","$9,136 "
Oregon,2010,"$1,069,653 ","$1,048,090 ","$21,563 "
Oregon,2011,"$1,050,098 ","$1,038,653 ","$11,445 "
Oregon,2012,"$1,070,641 ","$1,055,005 ","$15,636 "
Oregon,2013,"$1,062,420 ","$1,040,364 ","$22,056 "
Oregon,2014,"$1,128,502 ","$1,109,848 ","$18,654 "
Oregon,2015,"$1,129,757 ","$1,118,500 ","$11,257 "
Oregon,2016,"$1,216,267 ","$1,201,098 ","$15,169 "
Pennsylvania,2010,"$3,196,999 ","$3,107,757 ","$89,242 "
Pennsylvania,2011,"$3,236,484 ","$3,181,701 ","$54,783 "
Pennsylvania,2012,"$3,303,388 ","$3,150,781 ","$152,607 "
Pennsylvania,2013,"$3,433,015 ","$3,179,242 ","$253,773 "
Pennsylvania,2014,"$3,298,663 ","$3,261,863 ","$36,800 "
Pennsylvania,2015,"$3,416,695 ","$3,377,058 ","$39,637 "
Pennsylvania,2016,"$3,515,548 ","$3,481,640 ","$33,908 "
Rhode Island,2010,"$190,133 ","$189,369 ",$764 
Rhode Island,2011,"$197,097 ","$194,707 ","$2,390 "
Rhode Island,2012,"$199,280 ","$197,252 ","$2,028 "
Rhode Island,2013,"$203,558 ","$199,476 ","$4,082 "
Rhode Island,2014,"$206,792 ","$198,765 ","$8,027 "
Rhode Island,2015,"$211,174 ","$206,648 ","$4,526 "
Rhode Island,2016,"$222,123 ","$216,986 ","$5,137 "
South Carolina,2010,"$730,487 ","$656,948 ","$73,539 "
South Carolina,2011,"$672,033 ","$651,781 ","$20,252 "
South Carolina,2012,"$675,710 ","$666,846 ","$8,864 "
South Carolina,2013,"$717,109 ","$707,173 ","$9,936 "
South Carolina,2014,"$736,899 ","$728,207 ","$8,692 "
South Carolina,2015,"$767,022 ","$747,308 ","$19,714 "
South Carolina,2016,"$755,469 ","$746,577 ","$8,892 "
South Dakota,2010,"$162,546 ","$151,036 ","$11,510 "
South Dakota,2011,"$159,899 ","$154,204 ","$5,695 "
South Dakota,2012,"$164,693 ","$154,634 ","$10,059 "
South Dakota,2013,"$163,355 ","$158,723 ","$4,632 "
South Dakota,2014,"$173,122 ","$170,934 ","$2,188 "
South Dakota,2015,"$177,321 ","$174,740 ","$2,581 "
South Dakota,2016,"$179,646 ","$178,260 ","$1,386 "
Tennessee,2010,"$1,014,206 ","$1,002,024 ","$12,182 "
Tennessee,2011,"$1,018,197 ","$1,007,016 ","$11,181 "
Tennessee,2012,"$1,048,733 ","$1,038,664 ","$10,069 "
Tennessee,2013,"$1,067,268 ","$1,049,053 ","$18,215 "
Tennessee,2014,"$1,164,327 ","$1,119,295 ","$45,032 "
Tennessee,2015,"$1,161,777 ","$1,135,379 ","$26,398 "
Tennessee,2016,"$1,175,629 ","$1,150,215 ","$25,414 "
Texas,2010,"$5,744,841 ","$5,479,535 ","$265,306 "
Texas,2011,"$5,832,698 ","$5,581,988 ","$250,710 "
Texas,2012,"$5,482,193 ","$5,356,153 ","$126,040 "
Texas,2013,"$5,558,371 ","$5,430,919 ","$127,452 "
Texas,2014,"$5,696,663 ","$5,550,109 ","$146,554 "
Texas,2015,"$5,831,665 ","$5,685,311 ","$146,354 "
Texas,2016,"$5,921,011 ","$5,754,334 ","$166,677 "
Utah,2010,"$499,206 ","$495,685 ","$3,521 "
Utah,2011,"$497,248 ","$491,171 ","$6,077 "
Utah,2012,"$517,998 ","$493,603 ","$24,395 "
Utah,2013,"$514,990 ","$505,374 ","$9,616 "
Utah,2014,"$539,588 ","$530,659 ","$8,929 "
Utah,2015,"$528,622 ","$520,575 ","$8,047 "
Utah,2016,"$526,556 ","$515,826 ","$10,730 "
Vermont,2010,"$124,290 ","$124,074 ",$216 
Vermont,2011,"$126,422 ","$125,556 ",$866 
Vermont,2012,"$125,873 ","$125,280 ",$593 
Vermont,2013,"$135,285 ","$134,803 ",$482 
Vermont,2014,"$137,879 ","$137,137 ",$742 
Vermont,2015,"$143,436 ","$143,078 ",$358 
Vermont,2016,"$137,103 ","$136,515 ",$588 
Virginia,2010,"$2,120,072 ","$2,003,392 ","$116,680 "
Virginia,2011,"$2,147,621 ","$2,074,408 ","$73,213 "
Virginia,2012,"$2,183,660 ","$2,112,165 ","$71,495 "
Virginia,2013,"$2,260,559 ","$2,194,633 ","$65,926 "
Virginia,2014,"$2,410,245 ","$2,352,969 ","$57,276 "
Virginia,2015,"$2,472,309 ","$2,402,540 ","$69,769 "
Virginia,2016,"$2,560,724 ","$2,508,086 ","$52,638 "
Washington,2010,"$1,664,846 ","$1,568,743 ","$96,103 "
Washington,2011,"$1,595,452 ","$1,538,832 ","$56,620 "
Washington,2012,"$1,559,392 ","$1,484,030 ","$75,362 "
Washington,2013,"$1,547,070 ","$1,481,312 ","$65,758 "
Washington,2014,"$1,604,255 ","$1,557,349 ","$46,906 "
Washington,2015,"$1,677,560 ","$1,619,841 ","$57,719 "
Washington,2016,"$1,727,579 ","$1,644,040 ","$83,539 "
West Virginia,2010,"$323,564 ","$313,076 ","$10,488 "
West Virginia,2011,"$324,374 ","$319,383 ","$4,991 "
West Virginia,2012,"$333,775 ","$322,133 ","$11,642 "
West Virginia,2013,"$347,886 ","$332,495 ","$15,391 "
West Virginia,2014,"$353,736 ","$334,830 ","$18,906 "
West Virginia,2015,"$339,575 ","$320,806 ","$18,769 "
West Virginia,2016,"$353,589 ","$345,850 ","$7,739 "
Wisconsin,2010,"$1,523,868 ","$1,472,759 ","$51,109 "
Wisconsin,2011,"$1,543,626 ","$1,493,674 ","$49,952 "
Wisconsin,2012,"$1,545,438 ","$1,483,106 ","$62,332 "
Wisconsin,2013,"$1,475,862 ","$1,422,805 ","$53,057 "
Wisconsin,2014,"$1,507,528 ","$1,458,892 ","$48,636 "
Wisconsin,2015,"$1,540,158 ","$1,477,213 ","$62,945 "
Wisconsin,2016,"$1,553,919 ","$1,502,842 ","$51,077 "
Wyoming,2010,"$201,723 ","$197,153 ","$4,570 "
Wyoming,2011,"$201,929 ","$197,291 ","$4,638 "
Wyoming,2012,"$215,414 ","$209,405 ","$6,009 "
Wyoming,2013,"$213,000 ","$210,407 ","$2,593 "
Wyoming,2014,"$210,034 ","$207,690 ","$2,344 "
Wyoming,2015,"$213,887 ","$210,756 ","$3,131 "
Wyoming,2016,"$214,564 ","$213,090 ","$1,474 "
,,,,
Observations with N/A, missing years or zero values should be checked to see if data are available for a given year or level of government.,,,
